Smithfield North,0,30,0,dublin,SMITHFIELD NORTH,42,53.349562,-6.278198,OPEN
Parnell Square North,0,20,0,dublin,PARNELL SQUARE NORTH,30,53.3537415547453,-6.26530144781526,OPEN
Clonmel Street,0,33,0,dublin,CLONMEL STREET,54,53.336021,-6.26298,OPEN
Avondale Road,0,35,0,dublin,AVONDALE ROAD,108,53.359405,-6.276142,OPEN
James Street East,0,30,0,dublin,JAMES STREET EAST,20,53.336597,-6.248109,OPEN
Mount Street Lower,0,40,0,dublin,MOUNT STREET LOWER,56,53.33796,-6.24153,OPEN
Christchurch Place,0,20,0,dublin,CHRISTCHURCH PLACE,6,53.343368,-6.27012,OPEN
Grantham Street,0,30,0,dublin,GRANTHAM STREET,18,53.334123,-6.265436,OPEN
Pearse Street,0,30,0,dublin,PEARSE STREET,32,53.344304,-6.250427,OPEN
York Street East,0,32,0,dublin,YORK STREET EAST,52,53.338755,-6.262003,OPEN
Excise Walk,0,40,0,dublin,EXCISE WALK,48,53.347777,-6.244239,OPEN
Fitzwilliam Square West,0,30,0,dublin,FITZWILLIAM SQUARE WEST,13,53.336074,-6.252825,OPEN
Portobello Road,0,30,0,dublin,PORTOBELLO ROAD,43,53.330091,-6.268044,OPEN
Parnell Street,0,20,0,dublin,PARNELL STREET,31,53.350929,-6.265125,OPEN
Frederick Street South,0,40,0,dublin,FREDERICK STREET SOUTH,98,53.341515,-6.256853,OPEN
Fownes Street Upper,0,30,0,dublin,FOWNES STREET UPPER,14,53.344603,-6.263371,OPEN
Clarendon Row,0,31,0,dublin,CLARENDON ROW,1,53.340927,-6.262501,OPEN
Custom House,0,30,0,dublin,CUSTOM HOUSE,23,53.348279,-6.254662,OPEN
Rathdown Road,0,40,0,dublin,RATHDOWN ROAD,106,53.35893,-6.280337,OPEN
North Circular Road (O'Connell's),0,30,0,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),112,53.357841,-6.251557,OPEN
Hanover Quay,0,40,0,dublin,HANOVER QUAY,68,53.344115,-6.237153,OPEN
Oliver Bond Street,0,30,0,dublin,OLIVER BOND STREET,74,53.343893,-6.280531,OPEN
Collins Barracks Museum,0,38,0,dublin,COLLINS BARRACKS MUSEUM,87,53.347477,-6.28525,OPEN
Brookfield Road,0,30,0,dublin,BROOKFIELD ROAD,84,53.339005,-6.300217,OPEN
Benson Street,0,40,0,dublin,BENSON STREET,90,53.344153,-6.233451,OPEN
Earlsfort Terrace,0,30,0,dublin,EARLSFORT TERRACE,11,53.334295,-6.258503,OPEN
